q,a
코로나 검사비용에 대해 알고싶습니다.,검사조건에 따라 다릅니다.
어떻게 다른가요?,개인적인 판단에 의한 검사는 무료이며 질본에 의한 권고 검사는 무료입니다.
개인이 검사후 확진 판정시도 유료인가요?,개인적인 검사후 확진 판정시는 무료입니다.
무료로 검사해주는 사유는 무엇인가요?,질병의 확산 방지를 위해 적극적인 검사에 참여토록 하기 위함입니다.
무료 검사로 인해 국가적인 재정 낭비가 아닌지요?,질병 확산에 의한 국가경제의 영향성이 더크므로 선제적 검사가 비용적으로 유리합니다.
확진 판정시 회복시까지 기간은 어느정도 인가요?,연령대 및 개인의 상황에 따라 상이하므로 답변을 드리기 어렵습니다.
그럼 평균적인 입원 기간은 어느정도 인가요?,중증환자의 경우 약 1개월 정도 입니다.
입원비용은 전부 국가가 부담하나요?,네 그렇습니다.
코로나 치료비에 대한 예산은 충분한가요?,예산에 반영되어 있고 부족할 경우 추경을 통해 예산확보가 가능합니다.
올해 예산은 충분한가요,현재 코로나가 감소 추세로 문제 없습니다.
외국인(해외입국자)은 치료비를 어떻게 하나요?,적용대상과 시기에 따라 다릅니다.
날짜와 기준이 어떻게 되나요?,8월 17일 입국자 이후 해외유입자는 자비부담 입니다.
그럼 이전에 입국한 외국인은 모두 국가 부담인가요?,8월 24일 이후 본인 책임이 있는 해외유입 확진 외국인에게 부답됩니다. 
지원국가는 별도로 지원이 가능한가요?,지원국가에서 전액 지원 됩니다. 
조건부 지원국가는요?,치료비와 식대가 본인부담 입니다.
지원하지 않는 국가는 전액 본임부담으로 처리하나요?,네. 그렇습니다.
지원되는 국가들을 알 수 있는 방법이 있나요?,코로나19 홈페이지에 명시가 되어있습니다.
홈페이지 말고 알 수 있는 방법이 있나요?,콜센터로 문의하시길 바랍니다. 
콜센터 몇번으로 문의하면 될까요?,OOOO>4번으로 문의하시면됩니다.
코로나 검사비용이 비싼가요?,검사조건에 따라 다릅니다.
검사조건이 어떻게 다른가요?,개인적인 판단에 의한 검사는 무료이며 질본에 의한 권고 검사는 무료입니다.
개인이 검사후 확진 판정시도 유료인가요?,검사후 확진 판정시는 무료입니다.
