c,a
코로나 검사결과는 언제 나와요? ,6시간에서 하루 정도 소요됩니다. 
,
결과는 어떻게 알 수 있어요? ,"문자로 양성, 음성 여부를 알려줍니다. . "
,
하루가 지나도 연락이 안오면 어떻게 해요?,검사 받으신 진료소로 전화주셔서 확인하시면 됩니다. 
,
"네, 감사합니다. ",
친구 아버지가 돌아가셨는데 장례식장에 가도 돼요? ,"가셔도 되지만, 가급적 사람들이 많이 모이는 곳은 피하시는 것이 좋습니다. "
,
장례식장에 마스크 안끼고 가도 돼요?,마스크는 꼭 착용하셔야 합니다. 
,
그럼 상주들도 다 마스크 끼는 거예요?,"네, 맞습니다. "
,
장례식장에서 밥 먹을 수 있어요?,"네, 한 방향으로 앉거나, 지그재그로 앉은 상태에서 식사 가능하십니다."
,
장례식장에서도 거리두기 해야 돼요?,2m 거리두기를 원칙으로 하고 있습니다.
,
열이 있는데 가도 될까요?,열이 있으시면 되도록 가지 않기를 권장합니다. 
,
"네, 알겠습니다. ",
벌금이 가격차가 많이 나는 데요?,네 맞습니다
,
어떤 장소에서 의무적으로 마스크를 써야하나요?,"버스,지하철과 같은 대중교통 이용할 떄와 병원 요양시설,집회등에서는 마스크를 의무적으로 착용핫야 합니다"
,
1단계일떄와 2단계 일떄도 똑같이 적용되나요?,아닙니다
,
그럼 1단계 일땐 어떻게 적용되나요?,1단계 일땐 고위험 시설에서 의무적용됩니다
,
2단계일땐 어떻게 적용되나요?,2단계 일떄는 중위험 시설까지 마스크 작용이 의무화됩니다
,
고위험시설은 어떤 곳이 있는 지 궁금해요,"휴흥주점,노래방,실내스탠딩 공연장,뷔폐,대형학원,방문판매,유통물류센터,실내피트니센타등이 있습니다"
,
중위험 시설은 어떤 곳이 있죠?,"pc방,식당,카페,중소형학원,오락실,예식장실내워터파크,공연장,영화관,목욕탕,사우나등이 있습니다"
,
그런데 마스크 종류가 다양하잖아요?,네 맞습니다
,
"비말마스크, 망사마스크,밸브형 마스크,천마스크 등 다양한데요 어떤 마스크든 착용하면 되나요?",아닙니다
,
착용해도 단속되는 마스크가 있나요?,네 망사마스크와 벨브형 마스크는 단속대상입니다
,
마스크를 턱에 걸치는 사람은 마스크 단속대상에 포함되나요?,네 맞습니다
,
그런데 아이들은 마스크 착용하기 힘든데요,내 맞습니다
,
아이들도 단속대상이 되나요?,14세 미만 어린이나 마스크착용하기 어려운 의학적 소견을 받은 분은 대상에서 제외 됩니다
,
식당가서 밥먹을 마스크 쓰기 어려운데요,네 그렇죠
,
식당가서 밥 먹으면 안되나요?,아닙니다 음식섭취시에는 마스크 내리시고 이야기 하실떈 착용하시면 됩니다
,
목욕탕이나 수영장에서도 마스크 쓰기가 힘든데요,네 맞습니다 목욕할떄 물에 있는 경우 단속에서 제외됩니다
,
결혼식장에서 신랑신부 사진찍을 때도 마스크 써야하나요?,사진촬영시에는 단속대상에서 제외됩니다
,
버스탈때 마스크 안쓰고 타면 벌금이 얼마인가요?,25만원이상 100만원이하의 과태료가 부과됩니다
,
클럽이나 노래 연습장 등에서 마스크를 쓰지 않으면 벌금은요?,300만원 이하의 벌금이 부과됩니다
,
손님이 마스크 안쓰는 것은 가계주인이 손님 관리를 해야 되잖아요?,네 맞습니다
,
코로나가 걸렸습니다,양성 판정을 받았나요?
,
네 양성이 나왔습니다,
치료 방법이 있나요?,증상을 완화시킬수는 있지만 특별한 치료제는 없습니다
,
코로나 치료제가 개발되었나요?,아직 특별한 치료제는 없습니다
,
코로나가 걸려서 열이 많이 나요,열이 몇도인가요?
,
39도입니다,
코로나 약이 있나요?,증상을 완화시킬 수 있습니다
,
